"Total passenger movements (Annual-Mar)","","","","","",""
"","Arrivals","","Departures","","TOTAL",""
" ","Actual Counts","Counts Derived from a Sample","Actual Counts","Counts Derived from a Sample","Actual Counts","Counts Derived from a Sample"
2013,4865582,4850360,4853936,4859890,9719518,9710250
2014,5104013,5096273,5080593,5085783,10184606,10182056
2015,5413574,5405261,5352961,5355060,10766535,10760321
2016,5882365,5879389,5787236,5790348,11669601,11669737
2017,6379754,6362136,6323296,6309875,12703050,12672011
2018,6825117,6813191,6756580,6744516,13581697,13557707
2019,7033320,7027320,7002402,6991843,14035722,14019163
2020,6809964,6809964,6759046,6759046,13569010,13569010
2021,127559,127559,192120,192120,319679,319679
2022,459682,459682,493512,493512,953194,953194
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Actual series are counts derived from a sample of records from April 1975 to August 1997, and hence may contain sample error for these periods."
"Sampled series are derived from a sample of records and hence may contain sample error. Caution should be used when using data with low cell values."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ITM051AA"
""
"Last updated:"
"12 May 2022 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
